日期,備轉容量(MW) - MODIFIED.csv,備轉容量率(%) - MODIFIED.csv
2021-02-16,300.2,12.15
2021-02-17,282.4,10.13
2021-02-18,290.7,10.19
2021-02-19,288.5,10.08
2021-02-20,297.5,10.86
2021-02-21,313.9,12.43
2021-02-22,298.9,10.18
2021-02-23,310.9,10.39
2021-02-24,304.9,10.15
2021-02-25,302.9,10.07
2021-02-26,304.1,10.23
2021-02-27,275.8,10.42
2021-02-28,267.2,10.68
2021-03-01,283.2,10.66
2021-03-02,322.1,10.95
2021-03-03,307.5,10.36
2021-03-04,308.8,10.37
2021-03-05,326.8,10.94
2021-03-06,280.5,10.42
2021-03-07,275.2,10.67
2021-03-08,311.0,10.45
2021-03-09,304.8,10.18
2021-03-10,305.5,10.22
2021-03-11,307.7,10.24
2021-03-12,327.2,10.93
2021-03-13,307.5,11.48
2021-03-14,293.3,11.44
2021-03-15,307.4,10.22
2021-03-16,308.7,10.06
2021-03-17,318.3,10.36
2021-03-18,321.4,10.46
2021-03-19,313.7,10.16
2021-03-20,283.9,10.23
2021-03-21,318.6,12.4
